0.3,1,0.04,1,0.8,1,1,1,1,1,0.02,0,0.4,1,1
0.45,2,0.05,1,0.8,2,2,2,1,1,0,0,0.12,1,1
0.29,3,0.14,2,0.53,3,3,1,1,1,0,0,0.4,1,1
0.49,3,0.15,3,0.4,2,3,2,2,1,0,0,0.4,1,1
0.15,3,0.22,1,0.8,2,4,3,2,2,0,0,0.4,2,1
0.27,3,0.18,4,0.87,2,2,3,1,2,0,0,0.4,1,1
0.44,3,0.1,5,0.27,4,5,1,2,2,0,0,0.15,3,1
0.48,2,0.13,2,0.53,2,2,2,1,1,0,0,0.45,1,2
0.19,3,0.02,4,0.87,1,4,1,1,2,0.14,0,0.50,1,2
0.34,3,0.1,1,0.8,2,2,2,1,1,0.05,0,0.4,1,2
0.27,3,0.18,6,0.6,2,2,2,2,1,0,0,0.81,1,2
0.18,1,0.09,1,0.8,2,4,2,3,1,0,0,0.4,4,2
0.08,3,0.07,1,0.8,1,1,4,1,2,0,0,0.30,1,1
0.21,3,0.13,7,0.73,1,6,1,2,1,0,0,0.50,1,1
0.23,3,0.16,9,0.20,2,8,2,4,1,0,0,0.45,5,1
0.11,2,0.11,2,0.53,1,9,4,1,1,0,0,0.35,1,1
0.21,3,0.12,2,0.53,1,10,5,1,1,0,0,0.4,1,1
0.29,3,0.01,3,0.4,2,6,2,1,1,0,0,0.50,1,1
0.36,2,0.19,4,0.87,3,2,5,1,2,0,0,0.45,1,2
0.32,3,0.12,10,1.00,2,4,2,1,1,0,0,0.60,1,2
0.51,3,0.20,2,0.53,5,5,5,2,2,0,0,0.19,1,1
0.25,4,0.04,5,0.27,2,9,2,2,1,0,0,0.4,1,1
0.36,3,0.07,3,0.4,2,8,2,1,1,0,0.47,0.4,1,1
0.58,3,0.06,2,0.53,3,11,5,1,2,0,0,0.4,1,1
0.53,5,0.14,1,0.8,2,11,2,1,1,0,0,0.4,1,2
0.03,3,0.11,2,0.53,1,7,4,1,1,0,0,0.4,1,1
0.3,3,0.24,2,0.53,3,2,1,1,1,0,0,0.81,1,1
0.44,3,0.12,2,0.53,2,7,2,1,1,0,0,0.4,1,1
0.08,5,0.12,7,0.73,1,12,1,1,1,0,0,0.52,1,1
0.04,3,0.17,6,0.6,1,6,4,2,1,0,0,0.44,1,1
0.38,3,0.25,1,0.8,3,2,4,1,1,0,0.32,0.4,1,1
0.18,4,0.03,6,0.6,2,1,4,1,1,0,0,0.4,1,1
0.07,1,0.20,6,0.6,2,5,2,2,1,0,0,0.14,1,1
0.42,3,0.16,3,0.4,1,10,5,1,1,0,0,0.4,6,1
0.05,3,0.12,6,0.6,1,10,4,1,1,0,0,0.4,1,1
0.03,3,0.36,2,0.53,6,1,3,1,2,0,0,0.24,1,1
